vehicle_id,number_plate,brand,model,online,online_updated_at,autonomy_percentage,autonomy_percentage_updated_at,distance_covered_meters,distance_covered_updated_at,lat,lng,position_updated_at,locked
840c42a3-12cd-4aa5-8dc8-b7017924e469,BI47381,MERCEDES_BENZ,"C-Class (Breakout)",true,2026-07-07 08:34:00+00,95,2026-02-17 13:16:00+00,266785000,2026-07-07 08:27:00+00,56.137056,8.988827,2026-07-07 08:27:00+00,true
8bde5f33-584e-4bde-8415-db683b2d6014,BK80675,SEAT,"Ateca (Breakout)",true,2026-07-07 08:38:00+00,69,2026-07-06 12:40:00+00,59470000,2026-07-06 12:29:00+00,55.653238,12.570959,2026-07-06 12:29:00+00,true
d387e221-f650-4403-a4c2-e092f6076d05,CH73533,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:46:00+00,30,2026-07-06 21:49:00+00,77293000,2026-07-06 22:11:00+00,56.148938,10.217612,2026-07-06 22:11:00+00,true
0d248bbb-0996-4251-ab2c-a4e355e11d41,CN61538,VOLKSWAGEN,"Transporter (Breakout)",true,2026-07-07 08:40:00+00,76,2026-07-05 10:21:00+00,148840000,2026-07-05 10:21:00+00,55.471888,8.446795,2026-07-05 10:21:00+00,true
b8c0844c-c51b-4517-a183-c3dbf11e0d51,CS30731,RENAULT,"Trafic (GPO)(Breakout)",true,2026-07-07 08:45:00+00,74,2026-07-06 15:57:00+00,117645000,2026-07-06 16:15:00+00,56.468701,10.051182,2026-07-06 16:15:00+00,true
9ff40316-311d-474b-bc8f-ed46fe2cc4b2,DX82197,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:39:00+00,90,2026-07-06 17:21:00+00,103253000,2026-07-06 17:18:00+00,55.711082,12.62266,2026-07-06 17:18:00+00,true
1366401c-7be0-454c-8681-bf7432862249,ED32823,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:44:00+00,58,2026-07-06 12:48:00+00,132900000,2026-07-06 12:48:00+00,56.190617,10.178689,2026-07-06 12:48:00+00,true
a2204350-1239-4618-9370-312e6b1f4f4f,EK28861,VOLKSWAGEN,"Passat (Breakout)",true,2026-07-07 08:36:00+00,100,2026-07-05 16:39:00+00,186257000,2026-07-05 17:03:00+00,55.678212,12.512592,2026-07-05 17:03:00+00,true
7c6a05e9-1c49-41ae-bbea-afe6b09ff74f,FN19113,VOLVO,"V60 (Breakout)",true,2026-07-07 08:38:00+00,30,2026-07-06 17:53:00+00,298409000,2026-07-06 17:53:00+00,55.684331,12.571471,2026-07-06 17:53:00+00,true
ff195324-d762-46ff-9423-591bf4991ea7,GA74676,VOLKSWAGEN,"Transporter (Breakout)",true,2026-07-07 08:40:00+00,100,2026-07-06 09:42:00+00,5640000,2026-07-06 09:42:00+00,56.196324,10.160637,2026-07-06 09:42:00+00,true
b1cc8cfe-3488-4599-8bff-c9124e471d07,GO63328,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:41:00+00,60,2026-07-06 14:04:00+00,111478000,2026-07-06 14:39:00+00,55.717594,12.600094,2026-07-06 14:39:00+00,true
876c91c8-f60f-4993-aafa-28e478b76ea1,HH44555,AUDI,A4,true,2026-07-07 08:47:00+00,,,146036000,2026-07-06 09:25:00+00,55.855131,9.847961,2026-07-06 09:25:00+00,true
58fefa4d-468a-4182-b228-6d360f1565c4,IP80601,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:35:00+00,95,2026-07-04 16:49:00+00,95926000,2026-07-04 17:13:00+00,55.70271,12.642408,2026-07-04 17:13:00+00,false
42e6cb5b-992a-4ecc-99d2-fb79837db7b0,IS10398,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:43:00+00,39,2026-07-06 15:41:00+00,115659000,2026-07-06 15:39:00+00,55.69714,12.595721,2026-07-06 15:39:00+00,true
3bd94187-37a5-4dab-807a-528208cd71e8,JW11539,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:41:00+00,99,2026-07-06 19:12:00+00,122067000,2026-07-06 19:16:00+00,55.710258,12.495578,2026-07-06 19:16:00+00,true
4425a604-8233-41cf-a82d-bd877d43b749,JW80709,FORD,"Transit e-Custom (Breakout)",true,2026-07-07 08:44:00+00,80,2026-07-07 06:02:00+00,62000,2026-03-20 15:25:00+00,56.168177,9.542291,2026-03-20 15:25:00+00,true
cab6a2bb-d6c9-47ae-9f73-3944d26693c6,KD38830,SEAT,"Alhambra (70L)(Breakout)",true,2026-07-07 08:39:00+00,100,2026-07-06 13:28:00+00,76540000,2026-07-06 13:27:00+00,55.654836,12.647825,2026-07-06 13:27:00+00,true
bb830dcd-86b3-437e-888a-f84901e1c946,KI94019,VOLKSWAGEN,"T-Roc (Breakout)",true,2026-07-07 08:47:00+00,45,2026-06-30 13:30:00+00,255635000,2026-06-30 13:15:00+00,55.631698,12.531347,2026-06-30 13:15:00+00,true
b743af99-7e53-4954-aed1-61d4ea339d42,KM59225,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:31:00+00,100,2026-07-06 11:13:00+00,94763000,2026-07-06 11:13:00+00,56.124308,10.202546,2026-07-06 11:13:00+00,true
0ccc9225-0464-43ca-b131-677cdd3f64db,LB15036,BMW,"1 Series (Breakout)",true,2026-07-07 08:43:00+00,33,2026-07-06 19:15:00+00,96491000,2026-07-06 19:25:00+00,55.626376,12.580666,2026-07-06 19:25:00+00,true
c11d7fa4-2260-4430-bf7d-30febd58a096,LW41426,VOLKSWAGEN,"Passat (Breakout)",true,2026-07-07 08:32:00+00,83,2026-07-05 11:22:00+00,144523000,2026-07-05 11:15:00+00,55.706601,12.506707,2026-07-05 11:15:00+00,true
669c2f61-169b-483a-aac8-1f985b4eb6fe,MF47957,VOLKSWAGEN,"Touran (Breakout)",true,2026-07-07 08:42:00+00,92,2026-07-06 16:43:00+00,247654000,2026-07-06 16:49:00+00,57.0512,9.909364,2026-07-06 16:49:00+00,true
3e9817ea-b47a-4925-b01b-b8e178a6cc38,MW68263,AUDI,"A3 (Breakout)",true,2026-07-07 08:37:00+00,47,2026-07-03 15:41:00+00,68078000,2026-07-06 13:54:00+00,55.676596,12.61124,2026-07-06 13:54:00+00,true
1dbcd8d9-b5da-400d-b7f3-87caf4a127c9,NH46485,VOLKSWAGEN,"Passat (Breakout)",true,2026-07-07 08:35:00+00,82,2026-07-07 07:56:00+00,150650000,2026-07-07 07:57:00+00,56.181551,10.21406,2026-07-07 07:57:00+00,true
3d9b1b13-b50c-4c66-9d63-983147384ec6,NL38682,MERCEDES_BENZ,"A-Class (Diesel)(Breakout)",false,2026-06-12 08:44:00+00,51,2026-05-25 21:03:00+00,172314000,2026-06-12 08:21:00+00,56.187923,10.171499,2026-06-12 08:21:00+00,true
4043e1bc-c80c-45f2-966f-5d0ad34c04ce,NS73205,AUDI,A4,true,2026-07-07 08:32:00+00,,,143344000,2026-07-06 09:52:00+00,56.189775,10.195251,2026-07-06 09:52:00+00,true
f70d43b3-b6e4-4ba8-9317-eed88de2192c,NX25399,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:46:00+00,91,2026-07-07 08:34:00+00,128964000,2026-07-07 08:38:00+00,55.671221,12.533289,2026-07-07 08:38:00+00,true
6d1e8d5b-a689-4310-b92f-c097561cbbb4,PD91044,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:37:00+00,32,2026-07-06 23:08:00+00,113866000,2026-07-06 23:10:00+00,56.124954,10.162391,2026-07-06 23:10:00+00,true
7ab2aeb7-3e39-499a-8b31-bd71c8650f80,PR94408,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:43:00+00,94,2026-07-06 16:47:00+00,12138000,2026-07-06 17:21:00+00,56.179061,10.246334,2026-07-06 17:21:00+00,true
9b9a7c44-a5e8-409a-b0b4-f4a3958ae2f3,QI73831,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:43:00+00,100,2026-07-05 14:46:00+00,126372000,2026-07-05 14:58:00+00,55.485183,9.481625,2026-07-05 14:58:00+00,true
8d2a5013-9442-49f1-abea-f87dfa6db282,RK45113,MERCEDES_BENZ,"A-Class (Breakout)",true,2026-07-07 08:46:00+00,84,2026-07-04 08:28:00+00,64848000,2026-07-04 08:43:00+00,55.700636,9.521478,2026-07-04 08:43:00+00,true
2ee775ea-c87c-413d-8457-46597de94388,RK65223,AUDI,"Q3 (Breakout)",true,2026-07-07 08:45:00+00,95,2026-07-07 08:35:00+00,98561000,2026-07-07 08:47:00+00,55.662289,12.529313,2026-07-07 08:47:00+00,true
d7556486-b219-4a2e-9115-a7e57d89c061,SO91536,FORD,"Kuga (Breakout)",true,2026-07-07 08:39:00+00,100,2026-07-04 23:41:00+00,163846000,2026-07-04 23:46:00+00,55.631006,12.52451,2026-07-04 23:46:00+00,true
527aaa8e-d0ae-495b-8a75-7088627d0ea6,SQ99026,AUDI,"A3 (Breakout)",true,2026-07-07 08:39:00+00,100,2026-07-05 11:42:00+00,179946000,2026-07-05 11:53:00+00,55.659802,12.592229,2026-07-05 11:53:00+00,true
52adf79a-7168-408b-b6b2-e84c5c8837a6,UR89387,MERCEDES_BENZ,"E-Class (Breakout)",true,2026-07-07 08:41:00+00,95,2026-07-07 07:59:00+00,174244000,2026-07-07 08:17:00+00,55.634439,12.07597,2026-07-07 08:17:00+00,true
8cbd8f29-75f0-4dac-8690-a0afd24b2317,WB20418,AUDI,"A3 (Breakout)",true,2026-07-07 08:41:00+00,95,2026-07-06 11:34:00+00,154220000,2026-07-06 11:35:00+00,55.409938,10.405637,2026-07-06 11:35:00+00,true
6ae6ac0e-b918-4843-b3c4-eae02560c06b,WB20499,AUDI,"A3 (Breakout)",true,2026-07-30 08:54:51.85+00,,,,,55.6761,12.5683,2026-07-30 12:21:22.557+00,true
17ca8630-e7f2-4de8-be79-b749038484dc,XY94207,VOLKSWAGEN,"T-Roc (Breakout)",true,2026-07-07 08:38:00+00,100,2026-07-06 07:44:00+00,117343000,2026-07-06 07:45:00+00,55.701408,12.598609,2026-07-06 07:45:00+00,true
833b3613-c439-468e-a6fb-ff1d21f91062,YA75862,NISSAN,"Qashqai (Breakout)",true,2026-07-07 08:38:00+00,99,2026-07-07 07:19:00+00,63821000,2026-07-07 07:19:00+00,55.681615,12.592534,2026-07-07 07:19:00+00,true
50932543-7f58-48c3-8ab8-aae64b35eee9,YF30429,VOLKSWAGEN,"Golf (Breakout)",true,2026-07-07 08:38:00+00,74,2026-07-06 10:03:00+00,131365000,2026-07-06 10:45:00+00,55.636557,12.632213,2026-07-06 10:45:00+00,true
ad7070d7-fdae-4184-890c-e9a891e85bda,YI61058,MERCEDES_BENZ,"Vito (Breakout)",true,2026-07-07 08:35:00+00,100,2026-07-04 16:47:00+00,62731000,2026-07-04 16:59:00+00,56.197867,10.172809,2026-07-04 16:59:00+00,true
